user_id,total_revenue,currency,total_posts,average_schedule_seconds,total_twitter_post,total_facebook_post,total_pinterest_post,total_instagram_post,total_instagram_story,total_linkedin_post,total_tiktok_post,suggested_hashtags_count,suggested_time_count
-3643099373527698527,48.75,usd,,,,,,,,,,,
-3670216357631812141,,,1,100850.0,0,0,1,0,0,0,0,0,1
-367278154546566512,19.00,usd,2,129636.0,0,0,0,2,0,0,0,5,0
-369785608293629540,9.00,usd,1,136853.0,0,0,0,1,0,0,0,19,0
-3886046965010010043,,,2,621041.0,0,1,0,1,0,0,0,,
-3940601062192030965,19.00,usd,,,,,,,,,,0,1
-3970659376293974852,200.00,usd,4,307835.5,0,0,0,4,0,0,0,5,2
-4000273705858582309,9.00,usd,1,280801.0,0,0,0,1,0,0,0,,
-4086986644965946829,,,1,568809.0,0,0,0,1,0,0,0,,
-410375790734113807,49.00,usd,2,32412.0,0,1,0,1,0,0,0,3,0
-4701523309013461693,19.00,usd,,,,,,,,,,3,0
-4823792121359534016,29.00,usd,,,,,,,,,,4,1
-5202170174777568783,,,1,460829.0,0,0,0,1,0,0,0,,
-5205547952486912088,58.00,usd,1,129633.0,0,0,0,1,0,0,0,0,2
-5297807447266010384,,,1,622848.0,0,1,0,0,0,0,0,0,1
-547667136899208729,19.00,usd,,,,,,,,,,0,1
-5480046690268862381,90.00,usd,1,550839.0,0,0,0,1,0,0,0,6,1
-5655475426165385753,49.00,usd,,,,,,,,,,16,0
-5672871948207827540,,,,,,,,,,,,0,1
-5835861535123901480,35.00,usd,5,378027.0,0,1,1,3,0,0,0,19,1
-5902233118221934274,29.00,usd,,,,,,,,,,,
-5908283661885775081,,,2,376227.5,0,1,0,1,0,0,0,4,0
-5985673020538170734,,,3,349220.5,0,1,0,2,0,0,0,,
-6006989353923780470,19.00,usd,,,,,,,,,,,
-6132761345899516105,19.00,usd,,,,,,,,,,,
-625873797701520563,25.00,usd,,,,,,,,,,4,0
-6329689845442034915,,,1,493236.0,1,0,0,0,0,0,0,22,2
-63716674839721531,200.00,usd,3,496829.3333333333,0,0,0,3,0,0,0,8,3
-6414994224435795749,19.00,usd,,,,,,,,,,,
-6500566333449375068,19.00,usd,1,658825.0,0,0,1,0,0,0,0,0,1
-6513548157116322845,,,2,687652.0,0,0,0,2,0,0,0,10,0
-6541098509024428556,25.11,usd,,,,,,,,,,0,1
-6654221773392173196,9.00,usd,1,28821.0,0,0,0,1,0,0,0,0,2
-674995466105556499,,,,,,,,,,,,0,1
-6806545834110054371,25.64,usd,,,,,,,,,,0,4
-6906216975084128641,30.00,usd,,,,,,,,,,13,2
-7020993192911578028,15.00,usd,1,,0,1,0,0,0,0,0,12,1
-7108088470191667926,19.00,usd,,,,,,,,,,,
-7537044107771129631,45.00,usd,9,309026.5,0,2,3,3,1,0,0,16,0
-7562043270163951994,9.00,usd,1,648012.0,0,1,0,0,0,0,0,,
-7671645540163429522,15.00,usd,3,297023.0,0,1,0,2,0,0,0,13,0
-7740257202487833222,19.00,usd,1,349210.0,0,0,0,1,0,0,0,,
-7801186903792236866,0.00,usd,1,,0,0,0,1,0,0,0,1,1
-7858330723612007057,19.00,usd,,,,,,,,,,,
-807073814827634440,90.00,usd,,,,,,,,,,0,1
-8378924038446771673,,,,,,,,,,,,17,2
-8626377938296089959,25.00,usd,2,266435.0,0,0,0,2,0,0,0,5,1
-8713919907388152189,9.00,usd,2,,0,1,0,1,0,0,0,6,2
-9087129278221842081,65.88,usd,3,75631.0,0,1,0,2,0,0,0,16,3
-976367422302059709,65.00,usd,,,,,,,,,,31,0
-986108047768743146,18.00,usd,3,411610.0,0,0,0,3,0,0,0,8,0
-987090595186301413,14.00,usd,2,390640.0,0,0,0,1,1,0,0,2,0
-996395940364943234,15.00,usd,1,666008.0,0,0,0,1,0,0,0,0,1
1194653192751491020,171.63,usd,,,,,,,,,,,
